feature,importance
KRAS,0.16772345962308235
KL,0.028679466677766056
CGNL1,0.027479235907700014
AC092794.2,0.01598773781490142
AL136164.3,0.015500304318140704
AC092794.1,0.01184006719690322
MTURN,0.010838910128663165
AL121949.2,0.009454715265036684
AL121949.3,0.007992776135609815
SYP,0.007278147304055245
TPPP,0.006678283253525498
SPTBN1,0.006422578677786437
SNRPN,0.0057456323002539975
RIMS3,0.005239586885658488
MLLT11,0.0052162337502098316
H2BC1,0.005181601635257022
SLC17A7,0.005096522345550539
AQP2,0.004960922904666103
LINC00945,0.004903116466269598
SOD2,0.004827977465396535
AC009318.2,0.004643118530162953
AL035087.1,0.004533847153815244
ETFRF1,0.004501244204153688
AC100823.1,0.004124786145798422
CCK,0.0039766762768088685
EEF1B2P5,0.003526542353116223
TNFRSF6B,0.0034260725018245646
GOT1,0.0033158658975723553
CA4,0.0032750808681201926
RASD1,0.003206838187953498
C1orf115,0.0031895936080934
BEX4,0.0031388784871965118
COX5BP8,0.0031346802521353195
TFCP2L1,0.0030759316115147126
KIF5C,0.002877811956253597
CLIC1,0.0027805199210213434
ATP6V1B1,0.002772537196268499
RANBP3L,0.0026297530608858513
AC084754.1,0.0025814966427025066
PINK1,0.0025721497885795373
C15orf48,0.0024967304807354753
AC245297.1,0.002483788917769994
TSPYL4,0.0023167388359475426
TSPYL1,0.002294169958760631
CA9,0.0022878336715015735
MT1G,0.002278840317950339
CASC1,0.0021912278937245527
RAB3A,0.002151104089253176
TSPAN7,0.0021473388996766994
SLC13A3,0.0021470911746867133
