feature,importance
KRAS,0.10963437799833024
NEBL,0.03935495832150832
NDRG2,0.030749856600648655
PRDX4,0.020945732417520475
TOM1L2,0.013765655863223486
CLIC1,0.012345917167941194
LMO7,0.010831273603210487
TINCR,0.008235863833369522
AC092794.1,0.007933404262568514
CTIF,0.007448161605585404
GPRC5D,0.007372233209029418
H2BC1,0.0060902238222598016
TIMP1,0.0060359603303846345
SOX13,0.0059884920180168135
IL4I1,0.00510499028700981
PTP4A3,0.0049850903414702255
PPM1L,0.00494534887445121
C2CD5,0.00474081822655875
SYN2,0.00458897852516896
AC027277.2,0.004473895814363736
CTDSPL,0.004453306144527969
GABPB2,0.004414195624161097
OTUD7B,0.003994356224141993
SLC4A1,0.0038266053459199735
MED21,0.003825911701922754
AC063960.2,0.0037895440224819284
THRB,0.003758056219152449
SLIT2,0.0035886498527090693
CNNM2,0.0035661498780112416
LINC00507,0.003436257621190666
ADD3,0.0034007892339367476
GAPT,0.003362516941402558
C1orf198,0.0033218564746285767
ADRB1,0.003245408838688843
HEBP1,0.003204802519979094
THRB-IT1,0.003068977979845667
GTF3C6,0.003051185736162274
AC005753.3,0.00302814346089495
TSPAN9,0.0029418724027892
ALS2CL,0.0029123373538093274
AC087257.1,0.002872416491629899
AL353796.1,0.0028648926846724224
CKS1B,0.002845806131797288
ASAP2,0.0028096302245816727
KLHL2,0.002768341725122246
AC124303.2,0.00272159605356781
SLC25A27,0.0026782682048317984
GABARAPL1,0.0026339876626877826
BAIAP2,0.0026266608303446163
CAPRIN2,0.002582819099042339
